HomeTeam,AwayTeam,FTHG,FTAG
Crystal Palace,Arsenal FC,0.0,2.0
Fulham FC,Liverpool FC,2.0,2.0
Tottenham Hotspur,Southampton FC,4.0,1.0
Newcastle United,Nottingham Forest,2.0,0.0
Leeds United,Wolverhampton Wanderers,2.0,1.0
AFC Bournemouth,Aston Villa,2.0,0.0
Everton FC,Chelsea FC,0.0,1.0
Leicester City,Brentford FC,2.0,2.0
Manchester United,Brighton & Hove Albion,1.0,2.0
West Ham United,Manchester City,0.0,2.0
Aston Villa,Everton FC,2.0,1.0
Wolverhampton Wanderers,Fulham FC,0.0,0.0
Southampton FC,Leeds United,2.0,2.0
Manchester City,AFC Bournemouth,4.0,0.0
Brighton & Hove Albion,Newcastle United,0.0,0.0
Arsenal FC,Leicester City,4.0,2.0
Brentford FC,Manchester United,4.0,0.0
Nottingham Forest,West Ham United,1.0,0.0
Chelsea FC,Tottenham Hotspur,2.0,2.0
Liverpool FC,Crystal Palace,1.0,1.0
Tottenham Hotspur,Wolverhampton Wanderers,1.0,0.0
Crystal Palace,Aston Villa,3.0,1.0
Everton FC,Nottingham Forest,1.0,1.0
Fulham FC,Brentford FC,3.0,2.0
Leicester City,Southampton FC,1.0,2.0
AFC Bournemouth,Arsenal FC,0.0,3.0
Leeds United,Chelsea FC,3.0,0.0
West Ham United,Brighton & Hove Albion,0.0,2.0
Newcastle United,Manchester City,3.0,3.0
Manchester United,Liverpool FC,2.0,1.0
Southampton FC,Manchester United,0.0,1.0
Brentford FC,Everton FC,1.0,1.0
Brighton & Hove Albion,Leeds United,1.0,0.0
Chelsea FC,Leicester City,2.0,1.0
Liverpool FC,AFC Bournemouth,9.0,0.0
Manchester City,Crystal Palace,4.0,2.0
Arsenal FC,Fulham FC,2.0,1.0
Aston Villa,West Ham United,0.0,1.0
Wolverhampton Wanderers,Newcastle United,1.0,1.0
Nottingham Forest,Tottenham Hotspur,0.0,2.0
Fulham FC,Brighton & Hove Albion,2.0,1.0
Crystal Palace,Brentford FC,1.0,1.0
Southampton FC,Chelsea FC,2.0,1.0
Leeds United,Everton FC,1.0,1.0
AFC Bournemouth,Wolverhampton Wanderers,0.0,0.0
Arsenal FC,Aston Villa,2.0,1.0
Manchester City,Nottingham Forest,6.0,0.0
West Ham United,Tottenham Hotspur,1.0,1.0
Liverpool FC,Newcastle United,2.0,1.0
Leicester City,Manchester United,0.0,1.0
Everton FC,Liverpool FC,0.0,0.0
Brentford FC,Leeds United,5.0,2.0
Chelsea FC,West Ham United,2.0,1.0
Newcastle United,Crystal Palace,0.0,0.0
Nottingham Forest,AFC Bournemouth,2.0,3.0
Tottenham Hotspur,Fulham FC,2.0,1.0
Wolverhampton Wanderers,Southampton FC,1.0,0.0
Aston Villa,Manchester City,1.0,1.0
Brighton & Hove Albion,Leicester City,5.0,2.0
Manchester United,Arsenal FC,3.0,1.0
Fulham FC,Chelsea FC,,
AFC Bournemouth,Brighton & Hove Albion,,
Leicester City,Aston Villa,,
Liverpool FC,Wolverhampton Wanderers,,
Southampton FC,Brentford FC,,
Manchester City,Tottenham Hotspur,,
Arsenal FC,Everton FC,,
West Ham United,Newcastle United,,
Crystal Palace,Manchester United,,
Leeds United,Nottingham Forest,,
Aston Villa,Southampton FC,,
Nottingham Forest,Fulham FC,,
Wolverhampton Wanderers,Manchester City,,
Brighton & Hove Albion,Crystal Palace,,
Newcastle United,AFC Bournemouth,,
Tottenham Hotspur,Leicester City,,
Brentford FC,Arsenal FC,,
Everton FC,West Ham United,,
Manchester United,Leeds United,,
Chelsea FC,Liverpool FC,,
Arsenal FC,Tottenham Hotspur,,
AFC Bournemouth,Brentford FC,,
Crystal Palace,Chelsea FC,,
Fulham FC,Newcastle United,,
Liverpool FC,Brighton & Hove Albion,,
Southampton FC,Everton FC,,
West Ham United,Wolverhampton Wanderers,,
Manchester City,Manchester United,,
Leeds United,Aston Villa,,
Leicester City,Nottingham Forest,,
AFC Bournemouth,Leicester City,,
Chelsea FC,Wolverhampton Wanderers,,
Manchester City,Southampton FC,,
Newcastle United,Brentford FC,,
Brighton & Hove Albion,Tottenham Hotspur,,
Crystal Palace,Leeds United,,
West Ham United,Fulham FC,,
Arsenal FC,Liverpool FC,,
Everton FC,Manchester United,,
Nottingham Forest,Aston Villa,,
Brentford FC,Brighton & Hove Albion,,
Leicester City,Crystal Palace,,
Fulham FC,AFC Bournemouth,,
Wolverhampton Wanderers,Nottingham Forest,,
Tottenham Hotspur,Everton FC,,
Aston Villa,Chelsea FC,,
Leeds United,Arsenal FC,,
Manchester United,Newcastle United,,
Southampton FC,West Ham United,,
Liverpool FC,Manchester City,,
Brighton & Hove Albion,Nottingham Forest,,
Crystal Palace,Wolverhampton Wanderers,,
AFC Bournemouth,Southampton FC,,
Arsenal FC,Manchester City,,
Brentford FC,Chelsea FC,,
Newcastle United,Everton FC,,
Liverpool FC,West Ham United,,
Manchester United,Tottenham Hotspur,,
Fulham FC,Aston Villa,,
Leicester City,Leeds United,,
Nottingham Forest,Liverpool FC,,
Everton FC,Crystal Palace,,
Manchester City,Brighton & Hove Albion,,
Chelsea FC,Manchester United,,
Tottenham Hotspur,Newcastle United,,
Aston Villa,Brentford FC,,
Leeds United,Fulham FC,,
Southampton FC,Arsenal FC,,
Wolverhampton Wanderers,Leicester City,,
West Ham United,AFC Bournemouth,,
Leicester City,Manchester City,,
Liverpool FC,Leeds United,,
Crystal Palace,Southampton FC,,
Newcastle United,Aston Villa,,
AFC Bournemouth,Tottenham Hotspur,,
Brentford FC,Wolverhampton Wanderers,,
Brighton & Hove Albion,Chelsea FC,,
Fulham FC,Everton FC,,
Arsenal FC,Nottingham Forest,,
Manchester United,West Ham United,,
Aston Villa,Manchester United,,
Chelsea FC,Arsenal FC,,
Everton FC,Leicester City,,
Leeds United,AFC Bournemouth,,
Manchester City,Fulham FC,,
Nottingham Forest,Brentford FC,,
Southampton FC,Newcastle United,,
Tottenham Hotspur,Liverpool FC,,
West Ham United,Crystal Palace,,
Wolverhampton Wanderers,Brighton & Hove Albion,,
AFC Bournemouth,Everton FC,,
Brighton & Hove Albion,Aston Villa,,
Fulham FC,Manchester United,,
Liverpool FC,Southampton FC,,
