Team,Games,Wins,Draws,Losses,GF,GA,+/-,Pts
Manchester City,38,29,6,3,99,26,73,93
Liverpool FC,38,28,8,2,94,26,68,92
Chelsea FC,38,21,11,6,76,33,43,74
Tottenham Hotspur,38,22,5,11,69,40,29,71
Arsenal FC,38,22,3,13,61,48,13,69
Manchester United,38,16,10,12,57,57,0,58
West Ham United,38,16,8,14,60,51,9,56
Leicester City,38,14,10,14,62,59,3,52
Brighton & Hove Albion,38,12,15,11,42,44,-2,51
Wolverhampton Wanderers,38,15,6,17,38,43,-5,51
Newcastle United,38,13,10,15,44,62,-18,49
Crystal Palace,38,11,15,12,50,46,4,48
Brentford FC,38,13,7,18,48,56,-8,46
Aston Villa,38,13,6,19,52,54,-2,45
Southampton FC,38,9,13,16,43,67,-24,40
Everton FC,38,11,6,21,43,66,-23,39
Leeds United,38,9,11,18,42,79,-37,38
Burnley FC,38,7,14,17,34,53,-19,35
Watford FC,38,6,5,27,34,77,-43,23
Norwich City,38,5,7,26,23,84,-61,22
