Date,Team,TMValue
2022-09-15,SL Benfica,238.8
2022-09-15,FC Porto,245.25
2022-09-15,Sporting CP,219.3
2022-09-15,SC Braga,109.33
2022-09-15,FC Famalicão,41.25
2022-09-15,Vitória Guimarães SC,30.3
2022-09-15,Gil Vicente FC,23.2
2022-09-15,FC Paços de Ferreira,29.3
2022-09-15,GD Estoril Praia,25.0
2022-09-15,CD Santa Clara,24.23
2022-09-15,Boavista FC,18.7
2022-09-15,Portimonense SC,16.18
2022-09-15,Rio Ave FC,14.03
2022-09-15,CS Marítimo,16.15
2022-09-15,FC Vizela,14.45
2022-09-15,Casa Pia AC,14.1
2022-09-15,FC Arouca,12.28
2022-09-15,GD Chaves,8.03
2022-09-15,SL Benfica B,13.03
2022-09-15,FC Porto B,11.78
2022-09-15,Moreirense FC,9.4
2022-09-15,Académico Viseu FC,8.4
2022-09-15,SC Farense,6.93
2022-09-15,CD Tondela,5.75
2022-09-15,CD Mafra,5.68
2022-09-15,UD Vilafranquense,5.15
2022-09-15,B SAD,5.33
2022-09-15,FC Penafiel,4.98
2022-09-15,SC União Torreense,4.2
2022-09-15,CD Nacional,4.1
2022-09-15,CD Trofense,3.98
2022-09-15,CD Feirense,3.93
2022-09-15,Leixões SC,3.8
2022-09-15,CF Estrela Amadora SAD,3.43
2022-09-15,SC Covilhã,2.43
2022-09-15,UD Oliveirense,2.2
2022-09-01,SL Benfica,242.8
2022-09-01,FC Porto,245.75
2022-09-01,Sporting CP,217.8
2022-09-01,SC Braga,102.73
2022-09-01,FC Famalicão,41.25
2022-09-01,Vitória Guimarães SC,33.15
2022-09-01,Gil Vicente FC,23.05
2022-09-01,FC Paços de Ferreira,29.8
2022-09-01,GD Estoril Praia,26.15
2022-09-01,CD Santa Clara,22.93
2022-09-01,Boavista FC,19.9
2022-09-01,Portimonense SC,14.68
2022-09-01,Rio Ave FC,14.4
2022-09-01,CS Marítimo,14.58
2022-09-01,FC Vizela,14.05
2022-09-01,Casa Pia AC,13.7
2022-09-01,FC Arouca,12.58
2022-09-01,GD Chaves,9.43
2022-09-01,SL Benfica B,15.4
2022-09-01,FC Porto B,13.48
2022-09-01,Moreirense FC,9.1
2022-09-01,Académico Viseu FC,8.55
2022-09-01,SC Farense,6.6
2022-09-01,CD Tondela,5.75
2022-09-01,CD Mafra,5.68
2022-09-01,UD Vilafranquense,4.6
2022-09-01,B SAD,5.68
2022-09-01,FC Penafiel,4.98
2022-09-01,SC União Torreense,4.2
2022-09-01,CD Nacional,4.13
2022-09-01,CD Trofense,3.78
2022-09-01,CD Feirense,4.05
2022-09-01,Leixões SC,3.95
2022-09-01,CF Estrela Amadora SAD,3.23
2022-09-01,SC Covilhã,1.93
2022-09-01,UD Oliveirense,2.2
2022-08-15,SL Benfica,245.8
2022-08-15,FC Porto,251.3
2022-08-15,Sporting CP,253.0
2022-08-15,SC Braga,109.73
2022-08-15,FC Famalicão,37.93
2022-08-15,Vitória Guimarães SC,37.7
2022-08-15,Gil Vicente FC,23.05
2022-08-15,FC Paços de Ferreira,27.5
2022-08-15,GD Estoril Praia,18.53
2022-08-15,CD Santa Clara,19.43
2022-08-15,Boavista FC,20.15
2022-08-15,Portimonense SC,17.35
2022-08-15,Rio Ave FC,11.1
2022-08-15,CS Marítimo,13.75
2022-08-15,FC Vizela,14.05
2022-08-15,Casa Pia AC,9.9
2022-08-15,FC Arouca,12.58
2022-08-15,GD Chaves,8.38
2022-08-15,SL Benfica B,16.9
2022-08-15,FC Porto B,8.63
2022-08-15,Moreirense FC,9.7
2022-08-15,Académico Viseu FC,7.05
2022-08-15,SC Farense,6.0
2022-08-15,CD Tondela,6.25
2022-08-15,CD Mafra,5.5
2022-08-15,UD Vilafranquense,5.0
2022-08-15,B SAD,5.63
2022-08-15,FC Penafiel,5.05
2022-08-15,SC União Torreense,3.18
2022-08-15,CD Nacional,4.1
2022-08-15,CD Trofense,3.43
2022-08-15,CD Feirense,4.95
2022-08-15,Leixões SC,3.3
2022-08-15,CF Estrela Amadora SAD,2.73
2022-08-15,SC Covilhã,1.93
2022-08-15,UD Oliveirense,2.23
2022-08-01,SL Benfica,249.0
2022-08-01,FC Porto,253.2
2022-08-01,Sporting CP,262.7
2022-08-01,SC Braga,112.73
2022-08-01,FC Famalicão,31.25
2022-08-01,Vitória Guimarães SC,39.4
2022-08-01,Gil Vicente FC,22.65
2022-08-01,FC Paços de Ferreira,13.1
2022-08-01,GD Estoril Praia,21.35
2022-08-01,CD Santa Clara,13.78
2022-08-01,Boavista FC,27.55
2022-08-01,Portimonense SC,17.4
2022-08-01,Rio Ave FC,11.18
2022-08-01,CS Marítimo,14.05
2022-08-01,FC Vizela,14.53
2022-08-01,Casa Pia AC,8.05
2022-08-01,FC Arouca,12.88
2022-08-01,GD Chaves,7.75
2022-08-01,SL Benfica B,14.13
2022-08-01,FC Porto B,8.18
2022-08-01,Moreirense FC,8.55
2022-08-01,Académico Viseu FC,7.6
2022-08-01,SC Farense,6.55
2022-08-01,CD Tondela,6.25
2022-08-01,CD Mafra,5.78
2022-08-01,UD Vilafranquense,5.13
2022-08-01,B SAD,5.85
2022-08-01,FC Penafiel,5.1
2022-08-01,SC União Torreense,2.85
2022-08-01,CD Nacional,4.18
