Team,Games,Wins,Draws,Losses,GF,GA,+/-,Pts
Arsenal,6,5,0,1,14,7,7,15
Man City,6,4,2,0,20,6,14,14
Spurs,6,4,2,0,12,5,7,14
Brighton,6,4,1,1,11,5,6,13
Man Utd,6,4,0,2,8,8,0,12
Chelsea,6,3,1,2,8,9,-1,10
Liverpool,6,2,3,1,15,6,9,9
Brentford,6,2,3,1,15,9,6,9
Leeds,6,2,2,2,10,10,0,8
Fulham,6,2,2,2,9,9,0,8
Newcastle,6,1,4,1,7,6,1,7
Southampton,6,2,1,3,7,10,-3,7
Bournemouth,6,2,1,3,5,18,-13,7
Wolves,6,1,3,2,3,4,-1,6
Crystal Palace,6,1,3,2,7,9,-2,6
Everton,6,0,4,2,4,6,-2,4
Aston Villa,6,1,1,4,5,10,-5,4
West Ham,6,1,1,4,3,8,-5,4
Nottm Forest,6,1,1,4,4,14,-10,4
Leicester,6,0,1,5,8,16,-8,1
